locus_tag	ftype	length_bp	gene	EC_number	COG	product
MBHKAFJI_02868	CDS	573	cysE_3	2.3.1.30		Serine acetyltransferase
MBHKAFJI_02869	CDS	489				hypothetical protein
MBHKAFJI_02870	CDS	2808				hypothetical protein
MBHKAFJI_02871	CDS	375				hypothetical protein
MBHKAFJI_02872	CDS	513				hypothetical protein
MBHKAFJI_02873	CDS	1185	gpFI			Putative prophage major tail sheath protein
MBHKAFJI_02874	CDS	1110				hypothetical protein
MBHKAFJI_02875	CDS	261				hypothetical protein
MBHKAFJI_02876	CDS	141				hypothetical protein
MBHKAFJI_02877	tRNA	87				tRNA-Leu(taa)
MBHKAFJI_02878	tRNA	74				tRNA-Cys(gca)
MBHKAFJI_02879	tRNA	76				tRNA-Gly(gcc)
MBHKAFJI_02880	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
MBHKAFJI_02881	CDS	1833	uvrC		COG0322	UvrABC system protein C
MBHKAFJI_02882	CDS	657	uvrY		COG2197	Response regulator UvrY
MBHKAFJI_02883	CDS	225				hypothetical protein
MBHKAFJI_02884	CDS	723	sdiA		COG2771	Regulatory protein SdiA
MBHKAFJI_02885	CDS	753	artM_2		COG1126	Arginine transport ATP-binding protein ArtM
MBHKAFJI_02886	CDS	669	yecS		COG0765	L-cystine transport system permease protein YecS
MBHKAFJI_02887	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
MBHKAFJI_02888	CDS	858	fliY		COG0834	L-cystine-binding protein FliY
MBHKAFJI_02889	CDS	552	fliZ			Regulator of sigma S factor FliZ
MBHKAFJI_02890	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
MBHKAFJI_02891	CDS	1494	fljB		COG1344	Phase 2 flagellin
MBHKAFJI_02892	CDS	1413	fliD		COG1345	Flagellar hook-associated protein 2
MBHKAFJI_02893	CDS	411	fliS		COG1516	Flagellar secretion chaperone FliS
MBHKAFJI_02894	CDS	366	fliT			Flagellar protein FliT
MBHKAFJI_02895	CDS	1488	amyA	3.2.1.1	COG0366	Cytoplasmic alpha-amylase
MBHKAFJI_02896	CDS	414				hypothetical protein
MBHKAFJI_02897	CDS	1206				hypothetical protein
MBHKAFJI_02898	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
MBHKAFJI_02899	CDS	669	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
MBHKAFJI_02900	CDS	315	fliE		COG1677	Flagellar hook-basal body complex protein FliE
MBHKAFJI_02901	CDS	1659	fliF		COG1766	Flagellar M-ring protein
MBHKAFJI_02902	CDS	996	fliG		COG1536	Flagellar motor switch protein FliG
MBHKAFJI_02903	CDS	687	fliH		COG1317	Flagellar assembly protein FliH
MBHKAFJI_02904	CDS	1374	fliI	7.1.2.2	COG1157	Flagellum-specific ATP synthase
MBHKAFJI_02905	CDS	444	fliJ		COG2882	Flagellar FliJ protein
MBHKAFJI_02906	CDS	1128	fliK		COG3144	Flagellar hook-length control protein
MBHKAFJI_02907	CDS	465				hypothetical protein
MBHKAFJI_02908	CDS	1005	fliM		COG1868	Flagellar motor switch protein FliM
MBHKAFJI_02909	CDS	414	fliN		COG1886	Flagellar motor switch protein FliN
MBHKAFJI_02910	CDS	366	fliO		COG3190	Flagellar protein FliO
MBHKAFJI_02911	CDS	738	fliP		COG1338	Flagellar biosynthetic protein FliP
MBHKAFJI_02912	CDS	270	fliQ		COG1987	Flagellar biosynthetic protein FliQ
MBHKAFJI_02913	CDS	786	fliR		COG1684	Flagellar biosynthetic protein FliR
MBHKAFJI_02914	CDS	624	rcsA		COG2771	Transcriptional regulatory protein RcsA
MBHKAFJI_02915	CDS	189	dsrB			Protein DsrB
MBHKAFJI_02916	CDS	228				hypothetical protein
MBHKAFJI_02917	CDS	816	yedP	3.1.3.70	COG3769	Mannosyl-3-phosphoglycerate phosphatase
MBHKAFJI_02918	CDS	1695	dgcQ	2.7.7.65		putative diguanylate cyclase DgcQ
MBHKAFJI_02919	CDS	183				hypothetical protein
MBHKAFJI_02920	CDS	918	yedI		COG2354	Inner membrane protein YedI
MBHKAFJI_02921	CDS	921	yedA			putative inner membrane transporter YedA
MBHKAFJI_02922	CDS	471	vsr	3.1.-.-	COG3727	Very short patch repair protein
MBHKAFJI_02923	CDS	1419	dcm_1	2.1.1.37	COG0270	DNA-cytosine methyltransferase
MBHKAFJI_02924	CDS	696	yedJ		COG1418	putative protein YedJ
MBHKAFJI_02925	CDS	384	yedR			Inner membrane protein YedR
MBHKAFJI_02926	CDS	1074	yedS		COG3203	Outer membrane protein YedS
MBHKAFJI_02927	CDS	852	hchA	3.1.2.-	COG0693	Protein/nucleic acid deglycase 1
MBHKAFJI_02928	CDS	1359	hprS	2.7.13.3	COG0642	Sensor histidine kinase HprS
MBHKAFJI_02929	CDS	783	hprR		COG0745	Transcriptional regulatory protein HprR
MBHKAFJI_02930	CDS	414	hiuH	3.5.2.17	COG2351	5-hydroxyisourate hydrolase
MBHKAFJI_02931	CDS	1005	msrP	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
MBHKAFJI_02932	CDS	636	msrQ		COG2717	Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
MBHKAFJI_02933	CDS	672	zinT		COG3443	Metal-binding protein ZinT
MBHKAFJI_02934	CDS	531	yodB		COG3038	Cytochrome b561 
MBHKAFJI_02935	CDS	570	nleF			Effector protein NleF
MBHKAFJI_02936	CDS	561				hypothetical protein
MBHKAFJI_02937	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
MBHKAFJI_02938	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
MBHKAFJI_02939	CDS	615	yigZ		COG1739	IMPACT family member YigZ
MBHKAFJI_02940	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
MBHKAFJI_02941	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
MBHKAFJI_02942	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
MBHKAFJI_02943	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
MBHKAFJI_02944	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
MBHKAFJI_02945	CDS	489	rfaH_1		COG0250	Transcription antitermination protein RfaH
MBHKAFJI_02946	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
MBHKAFJI_02947	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
MBHKAFJI_02948	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
MBHKAFJI_02949	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
MBHKAFJI_02950	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
MBHKAFJI_02951	CDS	606	ubiJ_2		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
MBHKAFJI_02952	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
MBHKAFJI_02953	CDS	1428				hypothetical protein
MBHKAFJI_02954	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
MBHKAFJI_02955	CDS	816	clcD	3.1.1.45		Carboxymethylenebutenolidase
MBHKAFJI_02956	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
MBHKAFJI_02957	CDS	954	metR			HTH-type transcriptional regulator MetR
MBHKAFJI_02958	CDS	900	bioP		COG0697	Biotin transporter
MBHKAFJI_02959	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
MBHKAFJI_02960	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
MBHKAFJI_02961	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
MBHKAFJI_02962	CDS	621	rhtC_2		COG1280	Threonine efflux protein
MBHKAFJI_02963	CDS	1836	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
MBHKAFJI_02964	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
MBHKAFJI_02965	CDS	468				hypothetical protein
MBHKAFJI_02966	CDS	888	rarD		COG2962	Protein RarD
MBHKAFJI_02967	CDS	300				hypothetical protein
MBHKAFJI_02968	CDS	849				hypothetical protein
MBHKAFJI_02969	CDS	492				hypothetical protein
MBHKAFJI_02970	CDS	951	corA		COG0598	Magnesium transport protein CorA
MBHKAFJI_02971	CDS	765				hypothetical protein
MBHKAFJI_02972	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
MBHKAFJI_02973	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
MBHKAFJI_02974	CDS	897	xerC_2		COG4973	Tyrosine recombinase XerC
MBHKAFJI_02975	CDS	708				hypothetical protein
MBHKAFJI_02976	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
MBHKAFJI_02977	CDS	204				hypothetical protein
MBHKAFJI_02978	CDS	555				hypothetical protein
MBHKAFJI_02979	CDS	1479				hypothetical protein
MBHKAFJI_02980	CDS	1326				hypothetical protein
MBHKAFJI_02981	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
MBHKAFJI_02982	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
MBHKAFJI_02983	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
MBHKAFJI_02984	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
MBHKAFJI_02985	CDS	1200	hemX		COG2959	Protein HemX
MBHKAFJI_02986	CDS	1197	hemY		COG3071	Protein HemY
MBHKAFJI_02987	CDS	162				hypothetical protein
MBHKAFJI_02988	CDS	1236	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
MBHKAFJI_02989	tRNA	77				tRNA-Pro(tgg)
MBHKAFJI_02990	tRNA	87				tRNA-Leu(cag)
MBHKAFJI_02991	tRNA	76				tRNA-His(gtg)
MBHKAFJI_02992	tRNA	77				tRNA-Arg(ccg)
MBHKAFJI_02993	CDS	1386	yifK		COG1113	putative transport protein YifK
MBHKAFJI_02994	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
MBHKAFJI_02995	CDS	1353	wzyE			putative ECA polymerase
MBHKAFJI_02996	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
MBHKAFJI_02997	CDS	1251	wzxE		COG2244	Lipid III flippase
MBHKAFJI_02998	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
MBHKAFJI_02999	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
MBHKAFJI_03000	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
MBHKAFJI_03001	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
MBHKAFJI_03002	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
MBHKAFJI_03003	CDS	1131	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
MBHKAFJI_03004	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
MBHKAFJI_03005	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
MBHKAFJI_03006	CDS	219				hypothetical protein
MBHKAFJI_03007	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
MBHKAFJI_03008	CDS	330	trxA		COG0526	Thioredoxin 1
MBHKAFJI_03009	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
MBHKAFJI_03010	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
MBHKAFJI_03011	CDS	2022	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
MBHKAFJI_03012	CDS	450				hypothetical protein
MBHKAFJI_03013	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
MBHKAFJI_03014	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
MBHKAFJI_03015	CDS	894	gltC_1			HTH-type transcriptional regulator GltC
MBHKAFJI_03016	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
MBHKAFJI_03017	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
MBHKAFJI_03018	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MBHKAFJI_03019	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
MBHKAFJI_03020	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
MBHKAFJI_03021	CDS	1521	comM		COG0606	Competence protein ComM
MBHKAFJI_03022	CDS	339				hypothetical protein
MBHKAFJI_03023	CDS	840	hdfR_2			HTH-type transcriptional regulator HdfR
MBHKAFJI_03024	tRNA	76				tRNA-Trp(cca)
MBHKAFJI_03025	tRNA	77				tRNA-Asp(gtc)
MBHKAFJI_03026	rRNA	109				5S ribosomal RNA
MBHKAFJI_03027	CDS	993	edcC_2	4.1.1.61	COG0043	Phenolic acid decarboxylase
MBHKAFJI_03028	CDS	255	vdcD			Protein VdcD
MBHKAFJI_03029	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
MBHKAFJI_03030	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
MBHKAFJI_03031	CDS	639	otnC	4.1.1.104		3-oxo-tetronate 4-phosphate decarboxylase
MBHKAFJI_03032	CDS	1263	otnK	2.7.1.217	COG3395	3-oxo-tetronate kinase
MBHKAFJI_03033	CDS	909	ltnD	1.1.1.411		L-threonate dehydrogenase
MBHKAFJI_03034	CDS	768	srlR_4		COG1349	Glucitol operon repressor
MBHKAFJI_03035	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
MBHKAFJI_03036	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
MBHKAFJI_03037	CDS	180				hypothetical protein
MBHKAFJI_03038	CDS	354				hypothetical protein
MBHKAFJI_03039	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
MBHKAFJI_03040	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
MBHKAFJI_03041	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
MBHKAFJI_03042	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
MBHKAFJI_03043	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
MBHKAFJI_03044	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
MBHKAFJI_03045	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
MBHKAFJI_03046	CDS	612	hyfA_2	1.-.-.-	COG1142	Hydrogenase-4 component A
MBHKAFJI_03047	CDS	1827	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
MBHKAFJI_03048	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
MBHKAFJI_03049	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
MBHKAFJI_03050	CDS	543	ndhI	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
MBHKAFJI_03051	CDS	768	hycG		COG3260	Formate hydrogenlyase subunit 7
MBHKAFJI_03052	CDS	411				hypothetical protein
MBHKAFJI_03053	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
MBHKAFJI_03054	CDS	558				hypothetical protein
MBHKAFJI_03055	CDS	420	higA_2		COG5499	Antitoxin HigA
MBHKAFJI_03056	CDS	1425	bglH_2	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
MBHKAFJI_03057	CDS	1458	bglF_2		COG1263	PTS system beta-glucoside-specific EIIBCA component
MBHKAFJI_03058	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
MBHKAFJI_03059	CDS	528	hyfA_3	1.-.-.-	COG1142	Hydrogenase-4 component A
MBHKAFJI_03060	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
MBHKAFJI_03061	CDS	1134	norW	1.18.1.-	COG1251	Nitric oxide reductase FlRd-NAD(+) reductase
MBHKAFJI_03062	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
MBHKAFJI_03063	CDS	1515	norR_2		COG3604	Anaerobic nitric oxide reductase transcription regulator NorR
MBHKAFJI_03064	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
MBHKAFJI_03065	CDS	774	srlR_5		COG1349	Glucitol operon repressor
MBHKAFJI_03066	CDS	360				hypothetical protein
MBHKAFJI_03067	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
MBHKAFJI_03068	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
MBHKAFJI_03069	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
MBHKAFJI_03070	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
MBHKAFJI_03071	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
MBHKAFJI_03072	CDS	498	pncC_2	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
MBHKAFJI_03073	CDS	1062	recA		COG0468	Protein RecA
MBHKAFJI_03074	CDS	501	recX		COG2137	Regulatory protein RecX
MBHKAFJI_03075	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
MBHKAFJI_03076	CDS	186	csrA		COG1551	Carbon storage regulator
MBHKAFJI_03077	tRNA	93				tRNA-Ser(gct)
MBHKAFJI_03078	tRNA	77				tRNA-Arg(acg)
MBHKAFJI_03079	tRNA	72				tRNA-Arg(tcg)
MBHKAFJI_03080	tRNA	77				tRNA-Arg(acg)
MBHKAFJI_03081	tRNA	72				tRNA-Arg(tcg)
MBHKAFJI_03082	tRNA	77				tRNA-Arg(acg)
MBHKAFJI_03083	tRNA	77				tRNA-Arg(acg)
MBHKAFJI_03084	tRNA	77				tRNA-Arg(acg)
MBHKAFJI_03085	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
MBHKAFJI_03086	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
MBHKAFJI_03087	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
MBHKAFJI_03088	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
MBHKAFJI_03089	CDS	1539	emrB			Multidrug export protein EmrB
MBHKAFJI_03090	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
MBHKAFJI_03091	CDS	531	mprA		COG1846	Transcriptional repressor MprA
MBHKAFJI_03092	CDS	336				hypothetical protein
MBHKAFJI_03093	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
MBHKAFJI_03094	CDS	1185				putative transporter
MBHKAFJI_03095	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
MBHKAFJI_03096	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
MBHKAFJI_03097	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
MBHKAFJI_03098	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
MBHKAFJI_03099	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
MBHKAFJI_03100	CDS	411	nrdI		COG1780	Protein NrdI
MBHKAFJI_03101	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
MBHKAFJI_03102	CDS	330	ygaM		COG4575	putative protein YgaM
MBHKAFJI_03103	CDS	345				hypothetical protein
MBHKAFJI_03104	CDS	450	alaE			L-alanine exporter AlaE
MBHKAFJI_03105	CDS	405	stpA		COG2916	DNA-binding protein StpA
MBHKAFJI_03106	CDS	525	ygaP		COG0607	Inner membrane protein YgaP
MBHKAFJI_03107	CDS	300	ygaV_2		COG0640	putative HTH-type transcriptional regulator YgaV
MBHKAFJI_03108	CDS	159				hypothetical protein
MBHKAFJI_03109	CDS	450	kbp		COG1652	Potassium binding protein Kbp
MBHKAFJI_03110	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
MBHKAFJI_03111	CDS	1401	gabP		COG1113	GABA permease
MBHKAFJI_03112	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
MBHKAFJI_03113	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
MBHKAFJI_03114	CDS	1269	lhgD	1.1.5.-	COG0579	L-2-hydroxyglutarate dehydrogenase
MBHKAFJI_03115	CDS	978	glaH	1.14.11.-		Glutarate 2-hydroxylase
MBHKAFJI_03116	CDS	1008				hypothetical protein
MBHKAFJI_03117	CDS	222				hypothetical protein
MBHKAFJI_03118	CDS	252				hypothetical protein
MBHKAFJI_03119	CDS	558				hypothetical protein
MBHKAFJI_03120	CDS	489	ssb_2		COG0629	Single-stranded DNA-binding protein
MBHKAFJI_03121	CDS	678				hypothetical protein
MBHKAFJI_03122	CDS	783				hypothetical protein
MBHKAFJI_03123	CDS	288				hypothetical protein
MBHKAFJI_03124	CDS	321				hypothetical protein
MBHKAFJI_03125	CDS	2988				hypothetical protein
MBHKAFJI_03126	CDS	366				hypothetical protein
MBHKAFJI_03127	CDS	1920				hypothetical protein
MBHKAFJI_03128	CDS	603				hypothetical protein
MBHKAFJI_03129	CDS	444				hypothetical protein
MBHKAFJI_03130	CDS	330				hypothetical protein
MBHKAFJI_03131	CDS	237				hypothetical protein
MBHKAFJI_03132	CDS	573	lpxD_2	2.3.1.191		UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
MBHKAFJI_03133	CDS	579	tfaE_2			Prophage tail fiber assembly protein TfaE
MBHKAFJI_03134	CDS	2850				hypothetical protein
MBHKAFJI_03135	CDS	435				hypothetical protein
MBHKAFJI_03136	CDS	837				hypothetical protein
MBHKAFJI_03137	CDS	1434				hypothetical protein
MBHKAFJI_03138	CDS	357				hypothetical protein
MBHKAFJI_03139	CDS	3423				hypothetical protein
MBHKAFJI_03140	CDS	882				hypothetical protein
MBHKAFJI_03141	CDS	612				hypothetical protein
MBHKAFJI_03142	CDS	567				hypothetical protein
MBHKAFJI_03143	CDS	1035				hypothetical protein
MBHKAFJI_03144	CDS	477				hypothetical protein
MBHKAFJI_03145	CDS	351				hypothetical protein
MBHKAFJI_03146	CDS	639				hypothetical protein
MBHKAFJI_03147	CDS	222				hypothetical protein
MBHKAFJI_03148	CDS	1044				hypothetical protein
MBHKAFJI_03149	CDS	801				hypothetical protein
MBHKAFJI_03150	CDS	810				hypothetical protein
MBHKAFJI_03151	CDS	246				hypothetical protein
MBHKAFJI_03152	CDS	156	hokC_1			Toxic protein HokC
MBHKAFJI_03153	CDS	510				hypothetical protein
MBHKAFJI_03154	CDS	465				hypothetical protein
MBHKAFJI_03155	CDS	816				hypothetical protein
MBHKAFJI_03156	CDS	1590				hypothetical protein
MBHKAFJI_03157	CDS	1707				hypothetical protein
MBHKAFJI_03158	CDS	1002	virB		COG1475	Virulence regulon transcriptional activator VirB
MBHKAFJI_03159	CDS	1197	parA			Plasmid partition protein A
MBHKAFJI_03160	CDS	372				hypothetical protein
MBHKAFJI_03161	CDS	336				hypothetical protein
MBHKAFJI_03162	CDS	885	repB_1			RepFIB replication protein A
MBHKAFJI_03163	CDS	393				hypothetical protein
MBHKAFJI_03164	CDS	423				hypothetical protein
MBHKAFJI_03165	CDS	789				hypothetical protein
MBHKAFJI_03166	CDS	285				hypothetical protein
MBHKAFJI_03167	CDS	906	rdgC_2		COG2974	Recombination-associated protein RdgC
MBHKAFJI_03168	CDS	3042				hypothetical protein
MBHKAFJI_03169	tRNA	75				tRNA-Asn(gtt)
MBHKAFJI_03170	tRNA	87				tRNA-Tyr(gta)
MBHKAFJI_03171	tRNA	76				tRNA-Thr(tgt)
MBHKAFJI_03172	CDS	129				hypothetical protein
MBHKAFJI_03173	CDS	237				hypothetical protein
MBHKAFJI_03174	CDS	828				hypothetical protein
MBHKAFJI_03175	tRNA	76				tRNA-Met(cat)
MBHKAFJI_03176	CDS	1365	dnaB_2	3.6.4.12	COG0305	Replicative DNA helicase
MBHKAFJI_03177	CDS	999				hypothetical protein
MBHKAFJI_03178	CDS	633				hypothetical protein
MBHKAFJI_03179	CDS	1017				hypothetical protein
MBHKAFJI_03180	CDS	786				hypothetical protein
MBHKAFJI_03181	CDS	729				hypothetical protein
MBHKAFJI_03182	CDS	1218				hypothetical protein
MBHKAFJI_03183	CDS	261				hypothetical protein
MBHKAFJI_03184	CDS	246				hypothetical protein
MBHKAFJI_03185	CDS	579				hypothetical protein
MBHKAFJI_03186	CDS	156				hypothetical protein
MBHKAFJI_03187	CDS	627				hypothetical protein
MBHKAFJI_03188	CDS	678	pphA_1	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
MBHKAFJI_03189	CDS	702				hypothetical protein
MBHKAFJI_03190	CDS	219				hypothetical protein
MBHKAFJI_03191	CDS	1263				hypothetical protein
MBHKAFJI_03192	CDS	507				hypothetical protein
MBHKAFJI_03193	CDS	726				hypothetical protein
MBHKAFJI_03194	CDS	222				hypothetical protein
MBHKAFJI_03195	CDS	216				hypothetical protein
MBHKAFJI_03196	CDS	645				hypothetical protein
MBHKAFJI_03197	CDS	768				hypothetical protein
MBHKAFJI_03198	CDS	411				hypothetical protein
MBHKAFJI_03199	CDS	177				hypothetical protein
MBHKAFJI_03200	CDS	189				hypothetical protein
MBHKAFJI_03201	CDS	210				hypothetical protein
MBHKAFJI_03202	CDS	771				hypothetical protein
MBHKAFJI_03203	CDS	396				hypothetical protein
MBHKAFJI_03204	CDS	234				hypothetical protein
MBHKAFJI_03205	CDS	294				hypothetical protein
MBHKAFJI_03206	CDS	375				hypothetical protein
MBHKAFJI_03207	CDS	681				hypothetical protein
MBHKAFJI_03208	CDS	285				hypothetical protein
MBHKAFJI_03209	CDS	261				hypothetical protein
MBHKAFJI_03210	CDS	267				hypothetical protein
MBHKAFJI_03211	CDS	252	glgS_2			Surface composition regulator
MBHKAFJI_03212	CDS	390	umuD_2	3.4.21.-	COG1974	Protein UmuD
MBHKAFJI_03213	CDS	222				hypothetical protein
MBHKAFJI_03214	CDS	381				hypothetical protein
MBHKAFJI_03215	CDS	198				hypothetical protein
MBHKAFJI_03216	CDS	1044				hypothetical protein
MBHKAFJI_03217	CDS	453				hypothetical protein
MBHKAFJI_03218	CDS	1194				hypothetical protein
MBHKAFJI_03219	CDS	1485				hypothetical protein
MBHKAFJI_03220	CDS	564				hypothetical protein
MBHKAFJI_03221	CDS	1266	intS_3		COG0582	Prophage integrase IntS
MBHKAFJI_03222	tRNA	76				tRNA-Phe(gaa)
MBHKAFJI_03223	CDS	708				hypothetical protein
MBHKAFJI_03224	CDS	2136	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
MBHKAFJI_03225	CDS	1257	nupG			Nucleoside permease NupG
